DBN,School_Name,Neighborhood,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teacher_Percentage,Female_Teacher_Percentage,Student_Teacher_Ratio,Leadership_Teacher_Ratio,Support_Staff_Ratio,Avg_Years_Title,Avg_Years_School,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Performance
71M542,MANHATTAN BRIDGES HIGH SCHOOL,Chelsea - Clinton,70.82333333333334,2.0,33.0,7.0,42.0,30.3030303,69.6969697,3.699134199134199,0.0606060606060606,0.1666666666666666,10.2575757575,5.8878787878,0.0,0.0,100.0,0.0,High
73K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Bedford Stuyvesant - Crown Heights,62.23122222222222,2.0,18.0,6.0,26.0,50.0,50.0,2.807189542483661,0.1111111111111111,0.2307692307692307,7.9,4.449999999999999,0.0,92.45470588235294,7.545294117647059,0.0,Medium
72X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,Fordham - Bronx Park,56.965,3.0,24.0,8.0,35.0,50.0,50.0,5.69675925925926,0.125,0.2285714285714285,14.2,6.65,0.0,44.66222222222222,54.38777777777778,0.9505555555555556,Low
72X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,High Bridge - Morrisania,59.111428571428576,3.0,27.0,16.0,46.0,44.44444444,55.55555556,4.08994708994709,0.1111111111111111,0.3478260869565217,11.922222222079998,5.5444444444,0.0,20.14190476190476,79.51904761904763,0.3385714285714285,Low
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,Crotona - Tremont,64.31500000000001,4.0,53.0,16.0,73.0,39.62264151,60.37735848999999,1.9088050314465408,0.0754716981132075,0.2191780821917808,10.154716981139998,5.333962264159999,0.0,22.495,77.505,0.0,Medium
76K669,RESEARCH AND SERVICE HIGH SCHOOL,Bedford Stuyvesant - Crown Heights,57.709,3.0,16.0,3.0,22.0,43.75,56.25,3.783088235294118,0.1875,0.1363636363636363,10.99375,4.3,0.0,87.96764705882353,12.032352941176471,0.0,Low
72X249,BRONX HEALTH SCIENCES HIGH SCHOOL,Northeast Bronx,64.92166666666667,3.0,25.0,6.0,34.0,60.0,40.0,3.5375,0.12,0.1764705882352941,8.82,5.46,2.924375,57.549375,39.004375,0.52125,Medium
71M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Union Square - Lower East Side,65.32499999999999,3.0,15.0,4.0,22.0,53.33333333,46.66666667,4.295833333333333,0.2,0.1818181818181818,12.72000000008,6.01999999998,15.838125,22.358125,61.80375,0.0,Medium
72X508,BRONXDALE HIGH SCHOOL,Northeast Bronx,61.22944444444445,3.0,41.0,10.0,54.0,46.34146341,53.65853659,2.8690629011553272,0.073170731707317,0.1851851851851851,7.756097560920001,5.417073170689999,1.4210526315789471,30.94105263157895,61.45947368421053,6.18,Low
73K504,HIGH SCHOOL FOR CIVIL RIGHTS,East New York,56.212777777777774,3.0,16.0,5.0,24.0,43.75,56.25,5.386029411764706,0.1875,0.2083333333333333,15.35,7.65,0.0,77.18235294117646,22.81764705882353,0.0,Low
72X271,EAST BRONX ACADEMY FOR THE FUTURE,Crotona - Tremont,60.77,3.0,56.0,16.0,75.0,39.28571429,60.71428571,2.9662698412698414,0.0535714285714285,0.2133333333333333,10.67500000015,8.27857142858,1.5499999999999998,27.37555555555556,71.07499999999999,0.0,Low
