DBN,School_Name,Subject,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teachers,Male_Avg_Years_Title,Male_Avg_Years_School,Male_Teacher_Percentage,Female_Teachers,Female_Avg_Years_Title,Female_Avg_Years_School,Female_Teacher_Percentage,Asian,Asian_Percentage,Black_African_American,Black_African_American_Percentage,Hispanic,Hispanic_Percentage,White,White_Percentage,Year,Total Tested,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,latitude,longitude,ZIP Code_x,School Type,School Level,Neighborhood,ZIP Code_y
73K611,ORIGINS HIGH SCHOOL,living_environment,60.678333333333335,3.0,38.0,9.0,50.0,19.0,7.699999999999999,4.8,50.0,19.0,5.5,3.7000000000000006,50.0,5.0,13.15789474,8.0,21.05263158,,,21.0,55.26315789,2019.8333333333333,91.38888888888889,45.46,54.541111111111114,15.122777777777777,14.370000000000001,36.17944444444444,12.670555555555556,36.778333333333336,40.593157,-73.936635,11235.0,General Academic,High school,Coney Island - Sheepshead Bay ,11235
73K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,common_core_algebra,62.405,3.0,27.0,4.0,34.0,5.0,9.8,8.8,18.51851852,22.0,5.3,3.5999999999999996,81.48148148,,,7.0,25.92592593,,,14.0,51.85185185,2019.8333333333333,63.27777777777778,40.35277777777778,59.655,22.194444444444443,1.3277777777777777,48.73888888888889,46.89611111111111,3.037777777777778,40.705005,-73.93879,11206.0,General Academic,High school,Williamsburg - Bushwick,11206
73K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,common_core_english,73.97,3.0,27.0,4.0,34.0,5.0,9.8,8.8,18.51851852,22.0,5.3,3.5999999999999996,81.48148148,,,7.0,25.92592593,,,14.0,51.85185185,2019.8333333333333,63.27777777777778,40.35277777777778,59.655,22.194444444444443,1.3277777777777777,48.73888888888889,46.89611111111111,3.037777777777778,40.705005,-73.93879,11206.0,General Academic,High school,Williamsburg - Bushwick,11206
73K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,living_environment,64.515,3.0,27.0,4.0,34.0,5.0,9.8,8.8,18.51851852,22.0,5.3,3.5999999999999996,81.48148148,,,7.0,25.92592593,,,14.0,51.85185185,2019.8333333333333,63.27777777777778,40.35277777777778,59.655,22.194444444444443,1.3277777777777777,48.73888888888889,46.89611111111111,3.037777777777778,40.705005,-73.93879,11206.0,General Academic,High school,Williamsburg - Bushwick,11206
73K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,common_core_algebra,57.535714285714285,6.0,78.0,26.0,110.0,46.0,16.2,8.6,58.974358970000004,32.0,9.6,4.7,41.02564103,8.0,10.25641026,39.0,50.0,16.0,20.51282051,12.0,15.38461538,2019.9,102.0,53.2885,46.713,12.4945,0.0,20.2415,79.7585,0.0,40.818645,-73.919949,10451.0,Career Technical,High school,High Bridge - Morrisania,10451
73K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,common_core_english,69.86666666666666,6.0,78.0,26.0,110.0,46.0,16.2,8.6,58.974358970000004,32.0,9.6,4.7,41.02564103,8.0,10.25641026,39.0,50.0,16.0,20.51282051,12.0,15.38461538,2019.9,102.0,53.2885,46.713,12.4945,0.0,20.2415,79.7585,0.0,40.818645,-73.919949,10451.0,Career Technical,High school,High Bridge - Morrisania,10451
73K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,living_environment,57.79714285714285,6.0,78.0,26.0,110.0,46.0,16.2,8.6,58.974358970000004,32.0,9.6,4.7,41.02564103,8.0,10.25641026,39.0,50.0,16.0,20.51282051,12.0,15.38461538,2019.9,102.0,53.2885,46.713,12.4945,0.0,20.2415,79.7585,0.0,40.818645,-73.919949,10451.0,Career Technical,High school,High Bridge - Morrisania,10451
73K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,common_core_algebra,55.152,3.0,13.0,4.0,20.0,7.0,12.1,5.9,53.84615385,6.0,11.2,8.1,46.15384615,,,,,,,7.0,53.84615385,2019.6875,24.0,62.479375000000005,37.520625,5.725625,0.0,88.110625,11.889375,0.0,40.692015,-73.95818,11205.0,Transfer School,High school,Downtown - Heights - Park Slope,11205
73K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,common_core_english,59.23166666666666,3.0,13.0,4.0,20.0,7.0,12.1,5.9,53.84615385,6.0,11.2,8.1,46.15384615,,,,,,,7.0,53.84615385,2019.6875,24.0,62.479375000000005,37.520625,5.725625,0.0,88.110625,11.889375,0.0,40.692015,-73.95818,11205.0,Transfer School,High school,Downtown - Heights - Park Slope,11205
73K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,living_environment,58.879999999999995,3.0,13.0,4.0,20.0,7.0,12.1,5.9,53.84615385,6.0,11.2,8.1,46.15384615,,,,,,,7.0,53.84615385,2019.6875,24.0,62.479375000000005,37.520625,5.725625,0.0,88.110625,11.889375,0.0,40.692015,-73.95818,11205.0,Transfer School,High school,Downtown - Heights - Park Slope,11205
73K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,common_core_algebra,58.596666666666664,4.0,28.0,6.0,38.0,9.0,6.8,4.8,32.14285714,19.0,8.1,2.8,67.85714286,6.0,21.42857143,11.0,39.28571429,,,,,2019.8333333333333,85.16666666666667,59.69111111111111,40.31444444444444,9.102222222222222,0.0,89.9511111111111,7.241666666666666,2.8072222222222223,40.640543,-73.898601,11236.0,Career Technical,High school,Canarsie - Flatlands,11236
73K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,common_core_english,61.041666666666664,4.0,28.0,6.0,38.0,9.0,6.8,4.8,32.14285714,19.0,8.1,2.8,67.85714286,6.0,21.42857143,11.0,39.28571429,,,,,2019.8333333333333,85.16666666666667,59.69111111111111,40.31444444444444,9.102222222222222,0.0,89.9511111111111,7.241666666666666,2.8072222222222223,40.640543,-73.898601,11236.0,Career Technical,High school,Canarsie - Flatlands,11236
73K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,living_environment,53.73,4.0,28.0,6.0,38.0,9.0,6.8,4.8,32.14285714,19.0,8.1,2.8,67.85714286,6.0,21.42857143,11.0,39.28571429,,,,,2019.8333333333333,85.16666666666667,59.69111111111111,40.31444444444444,9.102222222222222,0.0,89.9511111111111,7.241666666666666,2.8072222222222223,40.640543,-73.898601,11236.0,Career Technical,High school,Canarsie - Flatlands,11236
73K618,ACADEMY OF INNOVATIVE TECHNOLOGY,common_core_algebra,63.53333333333333,3.0,35.0,9.0,47.0,20.0,7.800000000000001,7.599999999999999,57.14285714,15.0,8.4,4.6,42.85714286,,,13.0,37.14285714,,,10.0,28.57142857,2019.8333333333333,113.72222222222223,39.653333333333336,60.346666666666664,18.078888888888887,5.451666666666666,38.38055555555556,55.94,0.22833333333333336,40.693002,-73.869305,11208.0,Career Technical,High school,East New York,11208
73K618,ACADEMY OF INNOVATIVE TECHNOLOGY,common_core_english,71.81833333333333,3.0,35.0,9.0,47.0,20.0,7.800000000000001,7.599999999999999,57.14285714,15.0,8.4,4.6,42.85714286,,,13.0,37.14285714,,,10.0,28.57142857,2019.8333333333333,113.72222222222223,39.653333333333336,60.346666666666664,18.078888888888887,5.451666666666666,38.38055555555556,55.94,0.22833333333333336,40.693002,-73.869305,11208.0,Career Technical,High school,East New York,11208
73K618,ACADEMY OF INNOVATIVE TECHNOLOGY,living_environment,62.826666666666675,3.0,35.0,9.0,47.0,20.0,7.800000000000001,7.599999999999999,57.14285714,15.0,8.4,4.6,42.85714286,,,13.0,37.14285714,,,10.0,28.57142857,2019.8333333333333,113.72222222222223,39.653333333333336,60.346666666666664,18.078888888888887,5.451666666666666,38.38055555555556,55.94,0.22833333333333336,40.693002,-73.869305,11208.0,Career Technical,High school,East New York,11208
73K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,common_core_algebra,59.49333333333334,3.0,22.0,8.0,33.0,8.0,17.3,6.8,36.36363636,14.0,8.0,3.1,63.63636363999999,,,10.0,45.45454545,,,8.0,36.36363636,2019.7058823529412,94.94117647058823,52.24941176470588,47.75058823529412,10.493529411764705,0.0,93.60941176470588,6.125294117647059,0.2652941176470588,40.647728,-73.922212,11203.0,General Academic,High school,East Flatbush - Flatbush,11203
